party,in_party,in_profit,in_civil,in_anonymous,in_individual,in_others,in_total,out_personnel,out_return,out_miscellaneous,out_campaign_vehicle,out_campaign_office,out_public_relation,out_propagate,out_rally,out_exchequer,out_travel,out_total,balance
中國國民黨,3555681.81818182,8237579.77272727,500434.090909091,26402.7727272727,9046519.15909091,1806.93181818182,21368424.5454545,2302357.45454545,715718.181818182,2107812.06818182,494161.840909091,863468.318181818,223767.363636364,10998319.8636364,1876467.15909091,115768.181818182,296218.659090909,19994059.0909091,1374365
民主進步黨,215124.740740741,5190262.2962963,295970.37037037,194465.962962963,10456668.6296296,1244.14814814815,16353736.1481481,2582570.14814815,527455.555555556,1570174.7037037,272221.555555556,652732.074074074,175436.444444444,7916770.77777778,1766292.03703704,70851.8518518519,344480.222222222,15878985.3703704,474751
無黨團結聯盟,0,17739000,961000,0,10943560,835,29644395,463000,2200000,4282215,0,1588261,0,6136569,270380,0,538697,15479122,14165273
無黨籍,0,0,0,0,460000,0,460000,747000,0,139940,0,133150,0,616390,0,0,24581,1661061,-1201061
