id,name,party,constituency,in_party,in_profit,in_total,out_total
1738,李俊俋,民主進步黨,嘉義市,0,1040000,11799630,13934075
1739,李貴敏,中國國民黨,全國不分區,0,0,0,0
1740,林世嘉,台灣團結聯盟,全國不分區,0,0,0,0
1741,林佳龍,民主進步黨,臺中市第6選區,0,7025700,27401548,28672905
1742,林國正,中國國民黨,高雄市第9選區,6000000,4080000,12591593,16526779
1743,邱文彥,中國國民黨,全國不分區,0,0,0,0
1744,邱志偉,民主進步黨,高雄市第2選區,100000,3320000,10192209,11111903
1745,姚文智,民主進步黨,臺北市第2選區,345900,5942280,20983121,21253305
1747,徐欣瑩,中國國民黨,新竹縣,4000000,9455240,21628095,24002079
1748,張曉風,親民黨,全國不分區,0,0,0,0
1749,許忠信,台灣團結聯盟,全國不分區,0,0,0,0
1750,許智傑,民主進步黨,高雄市第8選區,100000,4972116,12183052,12274198
1751,陳雪生,無黨籍,連江縣,0,0,460000,1661061
1752,陳碧涵,中國國民黨,全國不分區,0,0,0,0
1753,陳歐珀,民主進步黨,宜蘭縣,0,2273678,9670008,12572469
1754,陳鎮湘,中國國民黨,全國不分區,0,0,0,0
1755,曾巨威,中國國民黨,全國不分區,0,0,0,0
1756,黃文玲,台灣團結聯盟,全國不分區,0,0,0,0
1757,楊玉欣,中國國民黨,全國不分區,0,0,0,0
1758,楊應雄,中國國民黨,金門縣,3000000,600000,4699527,10404662
1759,楊曜,民主進步黨,澎湖縣,0,510000,6297662,6546566
1760,詹凱臣,中國國民黨,僑居國外國民,0,0,0,0
1761,趙天麟,民主進步黨,高雄市第7選區,108218,6102550,24671446,23511329
1762,劉櫂豪,民主進步黨,臺東縣,1690000,1088500,6474806,6599029
1763,鄭天財(Sra•Kacaw),中國國民黨,平地原住民,0,0,0,0
1764,鄭麗君,民主進步黨,全國不分區,0,0,0,0
1765,蘇清泉,中國國民黨,全國不分區,0,0,0,0
1803,顏寬恒,中國國民黨,臺中市第2選區,0,0,0,0
1804,陳怡潔,親民黨,全國不分區,0,0,0,0
1805,葉津鈴,台灣團結聯盟,全國不分區,0,0,0,0
1806,賴振昌,台灣團結聯盟,全國不分區,0,0,0,0
1807,周倪安,台灣團結聯盟,全國不分區,0,0,0,0
1808,黃國書,民主進步黨,臺中市第6選區,0,0,0,0
1809,陳素月,民主進步黨,彰化縣第4選區,0,0,0,0
1810,徐志榮,中國國民黨,苗栗縣第2選區,0,0,0,0
1811,許淑華,中國國民黨,南投縣第2選區,0,0,0,0
1812,莊瑞雄,民主進步黨,屏東縣第3選區,0,0,0,0
