party,in_party,in_profit,in_civil,in_anonymous,in_individual,in_others,in_total,out_personnel,out_return,out_miscellaneous,out_campaign_vehicle,out_campaign_office,out_public_relation,out_propagate,out_rally,out_exchequer,out_travel,out_total,balance
中國國民黨,156450000,362453510,22019100,1161722,398046843,79505,940210680,101303728,31491600,92743731,21743121,37992606,9845764,483926074,82564555,5093800,13033621,879738600,60472080
民主進步黨,5808368,140137082,7991200,5250581,282330053,33592,441550876,69729394,14241300,42394717,7349982,17623766,4736784,213752811,47689885,1913000,9300966,428732605,12818271
無黨團結聯盟,0,17739000,961000,0,10943560,835,29644395,463000,2200000,4282215,0,1588261,0,6136569,270380,0,538697,15479122,14165273
無黨籍,0,0,0,0,460000,0,460000,747000,0,139940,0,133150,0,616390,0,0,24581,1661061,-1201061
